gene	zscore
GENE_0000	-5.518500334288938
GENE_0001	4.895636708981534
GENE_0002	-5.136734069699978
GENE_0003	-4.8703300796971325
GENE_0004	3.193721949414538
GENE_0005	-4.930031434772212
GENE_0006	5.1118147672245176
GENE_0007	-5.238280638939902
GENE_0008	-5.09116335512428
GENE_0009	-4.989467873407755
GENE_0010	5.2838649026771485
GENE_0011	4.35052264584267
GENE_0012	4.982820174280211
GENE_0013	-4.856073198092487
GENE_0014	5.187658290474649
GENE_0015	-4.06557153604184
GENE_0016	-3.827879088048672
GENE_0017	4.9779296022662844
GENE_0018	4.3380488125293
GENE_0019	-4.250545252078737
GENE_0020	4.801152205378208
GENE_0021	4.138465960811177
GENE_0022	-4.806104084933328
GENE_0023	4.150691256693961
GENE_0024	4.872294546982753
GENE_0025	-5.122990994705125
GENE_0026	3.9963661791279494
GENE_0027	-5.33052851676615
GENE_0028	4.755028749954958
GENE_0029	4.438425724578728
GENE_0030	-4.0499283205592675
GENE_0031	4.842772150599163
GENE_0032	3.8261849093935534
GENE_0033	5.0872541279881975
GENE_0034	5.632393032270341
GENE_0035	-3.6549085736828255
GENE_0036	3.6070587561357526
GENE_0037	-4.615041991971155
GENE_0038	4.749786805043815
GENE_0039	-4.194357623966739
GENE_0040	-4.139935343728913
GENE_0041	3.6476478003220345
GENE_0042	5.385745295684536
GENE_0043	3.826059383933777
GENE_0044	3.370528577931746
GENE_0045	-4.254183376393788
GENE_0046	-3.9407429430513967
GENE_0047	4.483946409762055
GENE_0048	5.080932328059879
GENE_0049	-5.266501339358234
GENE_0050	-3.665155291841656
GENE_0051	-4.863430086517618
GENE_0052	4.024083175306773
GENE_0053	3.535283639431767
GENE_0054	3.6131008716383777
GENE_0055	3.826487419002197
GENE_0056	-4.068638283586342
GENE_0057	-4.541371020599312
GENE_0058	4.088876788035706
GENE_0059	3.8850592311356857
GENE_0060	0.44251780552070974
GENE_0061	-0.02706022929560935
GENE_0062	0.13034562055511648
GENE_0063	0.466110419605294
GENE_0064	0.2149720369219196
GENE_0065	0.1327297155177509
GENE_0066	0.17437148108521325
GENE_0067	-0.01958167728937467
GENE_0068	0.012477347801723184
GENE_0069	-0.47535435384807173
GENE_0070	-0.2126412301497556
GENE_0071	-0.014565574759657784
GENE_0072	0.13904538797835675
GENE_0073	-0.13023413129483533
GENE_0074	0.7168124547824827
GENE_0075	0.23583305531994445
GENE_0076	0.07411523727004794
GENE_0077	-0.4335249608792764
GENE_0078	-0.01724786502249897
GENE_0079	0.15328348755252805
GENE_0080	-0.02801454786452494
GENE_0081	-0.040034906778034965
GENE_0082	-0.04720840103976179
GENE_0083	-0.21091207210691845
GENE_0084	-0.3750645104778614
GENE_0085	0.6553150703555531
GENE_0086	-0.3008465838196204
GENE_0087	-0.14024140608809182
GENE_0088	0.07608116577190195
GENE_0089	-0.6167795856000777
GENE_0090	0.466024482950207
GENE_0091	0.35090190212330896
GENE_0092	-0.45102365207025835
GENE_0093	-0.09695204664615724
GENE_0094	0.2868820541728628
GENE_0095	-0.006789796678464749
GENE_0096	0.29989033700735246
GENE_0097	0.45818506408523624
GENE_0098	-0.248791158559227
GENE_0099	0.14019055641444442
GENE_0100	-0.3611466307135888
GENE_0101	-0.1393710586733665
GENE_0102	0.020745004078858282
GENE_0103	0.043916231563423135
GENE_0104	-0.2548531713849942
GENE_0105	0.17888331370406843
GENE_0106	-0.4404944119893593
GENE_0107	-0.2643503890890769
GENE_0108	0.32168855882060776
GENE_0109	-0.23962947968633902
GENE_0110	0.08148755653804753
GENE_0111	0.4904046626355447
GENE_0112	-0.00544554427289894
GENE_0113	0.4031423908765943
GENE_0114	-0.4063365748589383
GENE_0115	-0.17697411375345587
GENE_0116	0.06630707464439894
